編號,案類,發生日期,發生時段,發生地點
2257,自行車竊盜,1100612,17~19,臺北市大安區建倫里忠孝東路4段216巷32弄1~30號
2258,自行車竊盜,1100612,23~01,臺北市大安區住安里信義路4段61~90號
2259,自行車竊盜,1100612,14~16,臺北市士林區士東路266巷5弄1~30號
2260,自行車竊盜,1100612,17~19,臺北市大安區龍陣里瑞安街71巷5弄
2261,自行車竊盜,1100614,14~16,臺北市信義區四育里八德路4段650號對面廣場
2262,自行車竊盜,1100614,12~14,臺北市大安區龍門里辛亥路2段31~60號
2263,自行車竊盜,1100615,23~01,臺北市中正區幸福里忠孝東路1巷61~90號
2264,自行車竊盜,1100615,17~19,臺北市萬華區西藏路115巷8弄1~30號
2265,自行車竊盜,1100615,14~16,臺北市萬華區桂林路1~30號
2266,自行車竊盜,1100615,14~16,臺北市萬華區桂林路1~30號
2267,自行車竊盜,1100619,14~16,臺北市大安區黎元里臥龍街151巷70弄口
2268,自行車竊盜,1100619,23~01,臺北市大安區龍陣里瑞安街71巷1~30號
2269,自行車竊盜,1100620,08~10,臺北市士林區名山里10鄰雨聲街31~60號
2270,自行車竊盜,1100620,23~01,臺北市大安區民輝里忠孝新生捷運站3號出口
2271,自行車竊盜,1100620,20~22,臺北市中山區敬業一路128巷1~30號
2272,自行車竊盜,1100621,08~10,臺北市大安區民輝里忠孝東路3段10巷口腳踏車停車格
2273,自行車竊盜,1100621,05~07,臺北市萬華區華西街21巷1~30號
2274,自行車竊盜,1100621,02~04,臺北市中山區南京東路3段1~30號
2275,自行車竊盜,1100622,14~16,臺北市文山區明興里010鄰興隆路4段61~90號前
2276,自行車竊盜,1100624,11~13,臺北市信義區富台里忠孝東路5段271~300號
2277,自行車竊盜,1100624,02~04,臺北市南港區合成里忠孝東路6段269巷1弄1~30號
2278,自行車竊盜,1100624,11~13,臺北市中正區幸福里忠孝新生捷運站1號出口(自行車停放處)
2279,自行車竊盜,1100627,08~10,臺北市大同區寧夏路1~30號
2280,自行車竊盜,1100628,08~10,臺北市大安區光明里信義路2段61~90號
2281,自行車竊盜,1100628,08~10,臺北市萬華區西門捷運5號出口
2282,自行車竊盜,1100629,05~07,臺北市大安區光信里仁愛路4段391~420號
2283,自行車竊盜,1100630,08~10,臺北市大安區誠安里復興南路1段122巷1~30號
2284,自行車竊盜,1100630,17~19,臺北市信義區新仁里忠孝東路4段553巷52弄與基隆路1段102巷口
2285,自行車竊盜,1100630,05~07,臺北市大安區龍坡里溫州街16巷1~30號
2286,自行車竊盜,1100630,17~19,臺北市士林區承德路4段10巷61~90號
2287,自行車竊盜,1100630,08~10,臺北市松山區光復北路1~30號
2288,自行車竊盜,1100701,08~10,臺北市大安區古莊里羅斯福路2段91~120號
2289,自行車竊盜,1100701,05~07,臺北市中山區新生北路2段60巷1~30號
