案類,發生日期,發生時段,發生地點
住宅竊盜,1040424,10~12,臺北市內湖區樂康里康樂街72巷17弄121~150號
住宅竊盜,1040425,00~02,臺北市大同區揚雅里民族西路151~180號
住宅竊盜,1040425,04~06,臺北市文山區興業里23鄰辛亥路5段124巷1~30號
住宅竊盜,1040426,04~06,臺北市北投區智仁里21鄰中和街525巷10弄1~30號
住宅竊盜,1040427,06~08,臺北市中山區大直街62巷5弄1~30號
住宅竊盜,1040427,08~10,臺北市內湖區湖興里20鄰成功路2段250巷31~60號
住宅竊盜,1040427,12~14,臺北市文山區興隆路2段154巷1~30號
住宅竊盜,1040427,14~16,臺北市中山區大直街62巷5弄1~30號
住宅竊盜,1040427,18~20,臺北市萬華區德昌街132巷1~30號
住宅竊盜,1040427,22~24,臺北市內湖區港都里港華街85巷1~30號
住宅竊盜,1040428,20~22,臺北市萬華區西藏路481~510號
住宅竊盜,1040429,12~14,臺北市中山區敬業三路162巷121~150號
住宅竊盜,1040429,14~16,臺北市中山區敬業三路162巷31~60號
住宅竊盜,1040430,08~10,臺北市內湖區麗山街328巷1~30號
住宅竊盜,1040430,18~20,臺北市內湖區樂康里康樂街136巷18弄31~60號
住宅竊盜,1040501,00~02,臺北市信義區忠孝東路
住宅竊盜,1040501,14~16,臺北市松山區民生東路5段181~210號
住宅竊盜,1040501,16~18,臺北市中山區吉林路379巷1~30號
住宅竊盜,1040503,00~02,臺北市中山區農安街1~30號
住宅竊盜,1040503,12~14,臺北市松山區撫遠街391~420號
住宅竊盜,1040503,18~20,臺北市松山區寶清街104巷31~60號
住宅竊盜,1040504,10~12,臺北市中山區長安東路1段31~60號
住宅竊盜,1040504,18~20,臺北市內湖區西湖里內湖路1段323巷1~30號
住宅竊盜,1040505,10~12,臺北市南港區舊莊里舊莊街1段145巷6弄1~30號
住宅竊盜,1040505,18~20,臺北市士林區菁山里永公路511~540號
住宅竊盜,1040506,20~22,臺北市文山區試院里29鄰木柵路1段1~30號
住宅竊盜,1040507,20~22,臺北市信義區大道里大道路7巷1弄1~30號
住宅竊盜,1040508,06~08,臺北市大同區斯文里大龍街89巷1~30號
住宅竊盜,1040508,08~10,臺北市大安區車層里忠孝東路4段216巷19弄1~30號
住宅竊盜,1040508,14~16,臺北市北投區大屯里復興三路521巷1~30號
住宅竊盜,1040509,12~14,臺北市士林區聖山里20鄰忠義街46巷1~30號
住宅竊盜,1040510,04~06,臺北市大安區虎嘯里樂業街15巷1~30號
住宅竊盜,1040510,12~14,臺北市內湖區新明路380巷9弄1~30號
住宅竊盜,1040510,14~16,臺北市中山區中山北路1段91~120號
住宅竊盜,1040511,22~24,臺北市萬華區萬大路322巷55弄1~30號
住宅竊盜,1040512,10~12,臺北市北投區開明里珠海路107巷1~30號
住宅竊盜,1040512,12~14,臺北市中正區文祥里金山南路一段91~120號
住宅竊盜,1040512,20~22,臺北市松山區延壽街61~90號
住宅竊盜,1040513,16~18,臺北市松山區健康路7巷1~30號
住宅竊盜,1040513,20~22,臺北市信義區五全里永吉路181~210號
住宅竊盜,1040514,10~12,臺北市內湖區康寧路3段245巷31~60號
住宅竊盜,1040514,12~14,臺北市文山區樟新里木新路3段301~330號
住宅竊盜,1040515,06~08,臺北市萬華區中華路2段481~510號
住宅竊盜,1040515,12~14,臺北市內湖區麗山街46巷5弄1~30號
住宅竊盜,1040515,12~14,臺北市內湖區康寧路1段156巷7弄1~30號
住宅竊盜,1040515,18~20,臺北市北投區榮光里致遠一路2段40巷1弄1~30號
住宅竊盜,1040518,12~14,臺北市中正區黎明里信陽街1~30號
住宅竊盜,1040518,14~16,臺北市萬華區東園街66巷1~30號
住宅竊盜,1040521,18~20,臺北市北投區文化里文化三路1~30號
住宅竊盜,1040521,22~24,臺北市士林區福志里24鄰中山北路5段756巷1~30號
住宅竊盜,1040522,18~20,臺北市中正區板溪里南昌路2段91~120號
住宅竊盜,1040523,10~12,臺北市松山區南京東路5段291巷44弄1~30號
住宅竊盜,1040523,10~12,臺北市松山區南京東路5段59巷28弄1~30號
住宅竊盜,1040525,20~22,臺北市文山區試院里木柵路1段31~60號
住宅竊盜,1040526,06~08,臺北市北投區洲美里洲美街81巷1~30號
住宅竊盜,1040526,16~18,臺北市中山區錦州街181~210號
住宅竊盜,1040526,22~24,臺北市中山區林森北路119巷1~30號
住宅竊盜,1040528,06~08,臺北市文山區萬祥里興隆路1段70巷1~30號
住宅竊盜,1040528,20~22,臺北市士林區永倫里6鄰社中街426巷1~30號
住宅竊盜,1040529,16~18,臺北市大同區斯文里承德路3段85巷1~30號
住宅竊盜,1040529,22~24,臺北市大同區南京西路31~60號
住宅竊盜,1040530,10~12,臺北市松山區民生東路5段36巷6弄1~30號
住宅竊盜,1040531,22~24,臺北市文山區興得里興隆路3段192巷8弄31~60號
住宅竊盜,1040531,22~24,臺北市信義區大道里林口街151~180號
住宅竊盜,1040601,00~02,臺北市中山區八德路2段241~270號
住宅竊盜,1040602,14~16,臺北市北投區泉源里東昇路91~120號
住宅竊盜,1040603,00~02,臺北市中正區光復里7號
住宅竊盜,1040603,16~18,臺北市中山區長安東路2段31~60號
住宅竊盜,1040604,14~16,臺北市中山區樂群二路181~210號
住宅竊盜,1040606,04~06,臺北市中山區錦州街31~60號
住宅竊盜,1040606,12~14,臺北市松山區南京東路5段123巷8弄1~30號
住宅竊盜,1040606,20~22,臺北市松山區八德路3段12巷52弄1~30號
住宅竊盜,1040607,06~08,臺北市中山區中山北路2段65巷2弄1~30號
住宅竊盜,1040607,10~12,臺北市中山區農安街125巷1~30號
住宅竊盜,1040607,12~14,臺北市大安區民炤里新生南路1段137巷1~30號
住宅竊盜,1040608,06~08,臺北市中正區黎明里懷寧街61~90號
住宅竊盜,1040608,08~10,臺北市中山區民權東路1段31~60號
住宅竊盜,1040608,14~16,臺北市士林區福林里中山北路5段460巷1~30號
住宅竊盜,1040608,22~24,臺北市中山區長春路61~90號
住宅竊盜,1040609,16~18,臺北市文山區試院里和興路91~120號
住宅竊盜,1040611,20~22,臺北市萬華區桂林路242巷31~60號
住宅竊盜,1040612,10~12,臺北市信義區三張里莊敬路391~420號
住宅竊盜,1040613,12~14,臺北市中山區新生北路3段31~60號
住宅竊盜,1040613,16~18,臺北市中正區板溪里羅斯福路3段84巷1弄1~30號
住宅竊盜,1040615,00~02,臺北市文山區萬芳里011鄰萬安街61~90號
