編號,案類,發生日期,發生時段,發生地點
272,機車竊盜,1070513,20~22,臺北市南港區玉成里16鄰南港路3段331 - 360號
273,機車竊盜,1070513,00-02,臺北市松山區八德路四段829巷1 - 30號
274,機車竊盜,1070513,18-20,臺北市萬華區華中橋下河濱公園內
275,機車竊盜,1070513,18-20,臺北市北投區承德路7段91 - 120號
276,機車竊盜,1070514,15-17,臺北市中山區中山北路二段59巷44弄1 - 30號
277,機車竊盜,1070514,06~08,臺北市大同區西寧北路61 - 90號
278,機車竊盜,1070514,15-17,臺北市大同區明倫高中後堤防
279,機車竊盜,1070514,18-20,臺北市萬華區西昌街
280,機車竊盜,1070515,21-23,臺北市內湖區行善路59巷1 - 30號
281,機車竊盜,1070515,06~08,臺北市士林區百齡里11鄰前港街110巷1 - 30號
282,機車竊盜,1070515,15-17,臺北市士林區舊佳里文林路594巷1 - 30號
283,機車竊盜,1070515,15-17,臺北市萬華區成都路91 - 120號
284,機車竊盜,1070515,12~04,臺北市大同區敦煌路181 - 210號
285,機車竊盜,1070516,21-23,臺北市中正區北平西路1 - 30號
286,機車竊盜,1070516,21-23,臺北市文山區木柵里秀明路1段31 - 60號
287,機車竊盜,1070516,15-17,臺北市南港區成福路31 - 60號
288,機車竊盜,1070517,15-17,臺北市中山區長春路與松江路口附近
289,機車竊盜,1070517,09~11,臺北市中山區民權東路與松江路口
290,機車竊盜,1070517,09~11,臺北市中山區復興北路294巷
291,機車竊盜,1070517,09~11,臺北市文山區木新路2段161巷1 - 30號
292,機車竊盜,1070517,06~8,臺北市南港區東新街1 - 30號
293,機車竊盜,1070517,15-17,臺北市士林區福順里2鄰重慶北路四段49巷20弄1 - 30號
294,機車竊盜,1070518,00-02,臺北市信義區仁愛路四512巷1 - 30號
295,機車竊盜,1070518,09~11,臺北市萬華區和平西路三段331 - 360號
296,機車竊盜,1070520,03~05,臺北市中山區合江街94巷1 - 30號
297,機車竊盜,1070520,18-20,臺北市內湖區安康路228巷內
298,機車竊盜,1070520,15-17,臺北市松山區八德路4段301 - 330號
299,機車竊盜,1070520,21-23,臺北市萬華區康定路31 - 60號
300,機車竊盜,1070521,00-02,臺北市中正區中華路二段441巷2弄
301,機車竊盜,1070521,06~08,臺北市大同區哈密街63巷1 - 30號
302,機車竊盜,1070522,06~08,臺北市南港區松河街661 - 690號
303,機車竊盜,1070522,15-17,臺北市松山區敦化南路一段100巷
304,機車竊盜,1070523,18-20,臺北市信義區吳興街118巷35弄
305,機車竊盜,1070524,03~05,臺北市大同區重慶北路二段61 - 90號
306,機車竊盜,1070525,09~11,臺北市大安區東豐街1 - 30號
307,機車竊盜,1070525,09~11,臺北市南港區經貿二路105巷之口
308,機車竊盜,1070525,15-17,臺北市士林區前港里01鄰劍潭路31 - 60號
309,機車竊盜,1070525,21-23,臺北市松山區松河街91 - 120號
310,機車竊盜,1070526,06~08,臺北市中山區新生北路二段60巷、長春路61巷口
311,機車竊盜,1070527,06~08,臺北市文山區車前路1 - 30號
312,機車竊盜,1070527,21-23,臺北市松山區八德路4段451 - 480號
313,機車竊盜,1070527,18-20,臺北市大同區民權西路160巷30弄1 - 30號
314,機車竊盜,1070528,12~14,臺北市中山區龍江路37巷1 - 30號
315,機車竊盜,1070528,09~11,臺北市萬華區萬大路486巷59弄1 - 30號
316,機車竊盜,1070529,18-20,臺北市中山區八德路、渭水路人行道上
317,機車竊盜,1070529,21-23,臺北市中正區三元街與南海路口附
318,機車竊盜,1070529,21-23,臺北市內湖區內湖路2段263巷30弄1 - 30號
319,機車竊盜,1070529,09~11,臺北市士林區福德路1 - 30號
320,機車竊盜,1070530,06~08,臺北市中正區中華路二段313巷31 - 60號
321,機車竊盜,1070530,15-17,臺北市信義區忠孝東路5段790巷20弄1 - 30號
322,機車竊盜,1070530,15-17,臺北市萬華區青年公園1 - 30號
323,機車竊盜,1070530,01~03,臺北市萬華區萬大路1 - 30號
324,機車竊盜,1070530,12~14,臺北市大安區和平東路三段391 - 420號
325,機車竊盜,1070530,06~08,臺北市萬華區中華路2段121 - 150號
326,機車竊盜,1070531,03~05,臺北市內湖區成功路4段324巷1弄1 - 30號
327,機車竊盜,1070601,09~11,臺北市南港區八德路四段768巷1 - 30號
328,機車竊盜,1070601,09~11,臺北市萬華區漢中街151 - 180號
329,機車竊盜,1070602,00-02,臺北市信義區基隆路1段361 - 390號
330,機車竊盜,1070604,09~11,臺北市大同區重慶北路3段236巷45弄1 - 30號
331,機車竊盜,1070605,00-02,臺北市萬華區環河南路2段241 - 270號
332,機車竊盜,1070606,21-23,臺北市中山區新生北路二段28巷1 - 30號
333,機車竊盜,1070607,15-17,臺北市中山區建國北路2段258巷1 - 30號
334,機車竊盜,1070607,09~11,臺北市大安區建國南路1段304巷1 - 30號
335,機車竊盜,1070609,21-23,臺北市中山區市民大道
336,機車竊盜,1070612,12~14,臺北市內湖區內湖路一段715巷內
337,機車竊盜,1070612,21-23,臺北市士林區義信里基河路與文林路口的路邊收費停車格
338,機車竊盜,1070612,09~11,臺北市萬華區桂林路與康定路口一帶
339,機車竊盜,1070613,15-17,臺北市內湖區內湖路2段179巷31 - 60號
340,機車竊盜,1070613,21-23,臺北市萬華區漢口街二段54之31 - 60號
